id,name
45,San Bernardino - Big Bear Lake
81,San Bernardino - Chino
82,San Bernardino - Chino Hills
94,San Bernardino - Colton
160,San Bernardino - Fontana
180,San Bernardino - Grand Terrace
196,San Bernardino - Hesperia
198,San Bernardino - Highland
264,San Bernardino - Loma Linda
315,San Bernardino - Montclair
334,San Bernardino - Needles
348,San Bernardino - Ontario
392,San Bernardino - Rancho Cucamonga
397,San Bernardino - Redlands
401,San Bernardino - Rialto
426,San Bernardino - San Bernardino
428,San Bernardino - San Bernardino-Unincorporated
547,San Bernardino - Twentynine Palms
551,San Bernardino - Upland
558,San Bernardino - Victorville
594,San Bernardino - Yucaipa
595,San Bernardino - Yucca Valley
73,San Diego - Carlsbad
84,San Diego - Chula Vista
106,San Diego - Coronado
121,San Diego - Del Mar
138,San Diego - El Cajon
147,San Diego - Encinitas
149,San Diego - Escondido
209,San Diego - Imperial Beach
234,San Diego - La Mesa
256,San Diego - Lemon Grove
333,San Diego - National City
346,San Diego - Oceanside
391,San Diego - Poway
433,San Diego - San Diego
435,San Diego - San Diego-Unincorporated
451,San Diego - San Marcos
477,San Diego - Santee
497,San Diego - Solana Beach
561,San Diego - Vista
438,San Francisco - San Francisco
148,San Joaquin - Escalon
254,San Joaquin - Lathrop
263,San Joaquin - Lodi
285,San Joaquin - Manteca
406,San Joaquin - Ripon
443,San Joaquin - San Joaquin-Unincorporated
517,San Joaquin - Stockton
534,San Joaquin - Tracy
22,San Luis Obispo - Arroyo Grande
25,San Luis Obispo - Atascadero
144,San Luis Obispo - El Paso De Robles
184,San Luis Obispo - Grover Beach
326,San Luis Obispo - Morro Bay
374,San Luis Obispo - Pismo Beach
448,San Luis Obispo - San Luis Obispo
610,San Luis Obispo - San Luis Obispo County Integrated Waste Management Authority
450,San Luis Obispo - San Luis Obispo-Unincorporated
26,San Mateo - Atherton
40,San Mateo - Belmont
54,San Mateo - Brisbane
58,San Mateo - Burlingame
93,San Mateo - Colma
117,San Mateo - Daly City
137,San Mateo - East Palo Alto
164,San Mateo - Foster City
187,San Mateo - Half Moon Bay
199,San Mateo - Hillsborough
299,San Mateo - Menlo Park
305,San Mateo - Millbrae
358,San Mateo - Pacifica
390,San Mateo - Portola Valley
399,San Mateo - Redwood City
429,San Mateo - San Bruno
431,San Mateo - San Carlos
453,San Mateo - San Mateo
455,San Mateo - San Mateo-Unincorporated
511,San Mateo - South San Francisco
584,San Mateo - Woodside
55,Santa Barbara - Buellton
75,Santa Barbara - Carpinteria
619,Santa Barbara - Goleta
185,Santa Barbara - Guadalupe
266,Santa Barbara - Lompoc
462,Santa Barbara - Santa Barbara
620,Santa Barbara - Santa Barbara Regional Integrated Waste Mgmgt. Reporting Authority
464,Santa Barbara - Santa Barbara-Unincorporated
473,Santa Barbara - Santa Maria
501,Santa Barbara - Solvang
70,Santa Clara - Campbell
115,Santa Clara - Cupertino
175,Santa Clara - Gilroy
270,Santa Clara - Los Altos
271,Santa Clara - Los Altos Hills
276,Santa Clara - Los Gatos
306,Santa Clara - Milpitas
